config,active_gates,fault_type,n,undetected,coverage_loss
FULL_G1G2G3G4,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION+POSTCONDITION,G1_precondition,1000,0,0.0
FULL_G1G2G3G4,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION+POSTCONDITION,G2_risk,1000,0,0.0
FULL_G1G2G3G4,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION+POSTCONDITION,G3_constraint,1000,0,0.0
FULL_G1G2G3G4,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION+POSTCONDITION,G4_postcondition,1000,0,0.0
minus_G1,RISK_ASSESSMENT+CONSTRAINT_VALIDATION+POSTCONDITION,G1_precondition,1000,1000,1.0
minus_G1,RISK_ASSESSMENT+CONSTRAINT_VALIDATION+POSTCONDITION,G2_risk,1000,0,0.0
minus_G1,RISK_ASSESSMENT+CONSTRAINT_VALIDATION+POSTCONDITION,G3_constraint,1000,0,0.0
minus_G1,RISK_ASSESSMENT+CONSTRAINT_VALIDATION+POSTCONDITION,G4_postcondition,1000,0,0.0
minus_G2,PRECONDITION+CONSTRAINT_VALIDATION+POSTCONDITION,G1_precondition,1000,0,0.0
minus_G2,PRECONDITION+CONSTRAINT_VALIDATION+POSTCONDITION,G2_risk,1000,1000,1.0
minus_G2,PRECONDITION+CONSTRAINT_VALIDATION+POSTCONDITION,G3_constraint,1000,0,0.0
minus_G2,PRECONDITION+CONSTRAINT_VALIDATION+POSTCONDITION,G4_postcondition,1000,0,0.0
minus_G3,PRECONDITION+RISK_ASSESSMENT+POSTCONDITION,G1_precondition,1000,0,0.0
minus_G3,PRECONDITION+RISK_ASSESSMENT+POSTCONDITION,G2_risk,1000,0,0.0
minus_G3,PRECONDITION+RISK_ASSESSMENT+POSTCONDITION,G3_constraint,1000,1000,1.0
minus_G3,PRECONDITION+RISK_ASSESSMENT+POSTCONDITION,G4_postcondition,1000,0,0.0
minus_G4,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION,G1_precondition,1000,0,0.0
minus_G4,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION,G2_risk,1000,0,0.0
minus_G4,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION,G3_constraint,1000,0,0.0
minus_G4,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION,G4_postcondition,1000,1000,1.0
progressive_G1,PRECONDITION,G1_precondition,1000,0,0.0
progressive_G1,PRECONDITION,G2_risk,1000,1000,1.0
progressive_G1,PRECONDITION,G3_constraint,1000,1000,1.0
progressive_G1,PRECONDITION,G4_postcondition,1000,1000,1.0
progressive_G1G2,PRECONDITION+RISK_ASSESSMENT,G1_precondition,1000,0,0.0
progressive_G1G2,PRECONDITION+RISK_ASSESSMENT,G2_risk,1000,0,0.0
progressive_G1G2,PRECONDITION+RISK_ASSESSMENT,G3_constraint,1000,1000,1.0
progressive_G1G2,PRECONDITION+RISK_ASSESSMENT,G4_postcondition,1000,1000,1.0
progressive_G1G2G3,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION,G1_precondition,1000,0,0.0
progressive_G1G2G3,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION,G2_risk,1000,0,0.0
progressive_G1G2G3,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION,G3_constraint,1000,0,0.0
progressive_G1G2G3,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION,G4_postcondition,1000,1000,1.0
progressive_G1G2G3G4,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION+POSTCONDITION,G1_precondition,1000,0,0.0
progressive_G1G2G3G4,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION+POSTCONDITION,G2_risk,1000,0,0.0
progressive_G1G2G3G4,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION+POSTCONDITION,G3_constraint,1000,0,0.0
progressive_G1G2G3G4,PRECONDITION+RISK_ASSESSMENT+CONSTRAINT_VALIDATION+POSTCONDITION,G4_postcondition,1000,0,0.0
NONE_no_gates,NONE,G1_precondition,1000,1000,1.0
NONE_no_gates,NONE,G2_risk,1000,1000,1.0
NONE_no_gates,NONE,G3_constraint,1000,1000,1.0
NONE_no_gates,NONE,G4_postcondition,1000,1000,1.0
