tau,coverage,risk,n_covered
1.0,1.0,0.181,6000
0.99,0.988833,0.18119,5933
0.98,0.979833,0.181153,5879
0.97,0.967667,0.179814,5806
0.96,0.957,0.180077,5742
0.95,0.947667,0.180091,5686
0.94,0.936667,0.180071,5620
0.93,0.928333,0.179713,5570
0.92,0.9205,0.178164,5523
0.91,0.911167,0.177611,5467
0.9,0.902667,0.177806,5416
0.89,0.892667,0.176998,5356
0.88,0.886333,0.17657,5318
0.87,0.8765,0.176079,5259
0.86,0.866333,0.176029,5198
0.85,0.856667,0.17607,5140
0.84,0.846667,0.175591,5080
0.83,0.836,0.174442,5016
0.82,0.826,0.173527,4956
0.81,0.815667,0.174295,4894
0.8,0.806667,0.174587,4840
0.79,0.7965,0.174932,4779
0.78,0.784667,0.175446,4708
0.77,0.775833,0.175295,4655
0.76,0.765833,0.176061,4595
0.75,0.756,0.174383,4536
0.74,0.743167,0.174479,4459
0.73,0.732833,0.175347,4397
0.72,0.721833,0.175248,4331
0.71,0.714167,0.175029,4285
0.7,0.7035,0.175314,4221
0.69,0.693,0.175084,4158
0.68,0.683667,0.175037,4102
0.67,0.672333,0.1765,4034
0.66,0.662333,0.175138,3974
0.65,0.649833,0.174917,3899
0.64,0.638667,0.175104,3832
0.63,0.629833,0.175708,3779
0.62,0.621333,0.175429,3728
0.61,0.609167,0.17565,3655
0.6,0.598333,0.17493,3590
0.59,0.588333,0.175921,3530
0.58,0.579167,0.176691,3475
0.57,0.5695,0.176471,3417
0.56,0.5595,0.178135,3357
0.55,0.548167,0.17817,3289
0.54,0.541,0.177141,3246
0.53,0.531167,0.177596,3187
0.52,0.521667,0.178914,3130
0.51,0.513,0.179987,3078
0.5,0.5035,0.179742,3021
0.49,0.494333,0.18004,2966
0.48,0.4835,0.181317,2901
0.47,0.470333,0.181077,2822
0.46,0.4615,0.179487,2769
0.45,0.449833,0.177844,2699
0.44,0.4395,0.177854,2637
0.43,0.4305,0.180023,2583
0.42,0.419833,0.179436,2519
0.41,0.408167,0.178849,2449
0.4,0.397833,0.177629,2387
0.39,0.39,0.178632,2340
0.38,0.379667,0.180421,2278
0.37,0.367833,0.179429,2207
0.36,0.358833,0.178356,2153
0.35,0.349167,0.177088,2095
0.34,0.339833,0.178028,2039
0.33,0.328833,0.179422,1973
0.32,0.318333,0.181152,1910
0.31,0.307833,0.181375,1847
0.3,0.2945,0.184493,1767
0.29,0.284333,0.184056,1706
0.28,0.2755,0.185118,1653
0.27,0.265167,0.181647,1591
0.26,0.254,0.182415,1524
0.25,0.244667,0.182561,1468
0.24,0.2345,0.181947,1407
0.23,0.2265,0.181015,1359
0.22,0.217333,0.179448,1304
0.21,0.209333,0.181529,1256
0.2,0.202667,0.183388,1216
0.19,0.193667,0.183305,1162
0.18,0.181667,0.177982,1090
0.17,0.170667,0.177734,1024
0.16,0.161,0.180124,966
0.15,0.1505,0.181617,903
0.14,0.141167,0.182999,847
0.13,0.13,0.184615,780
0.12,0.118833,0.183731,713
0.11,0.1085,0.176651,651
0.1,0.096833,0.182444,581
0.09,0.083833,0.184891,503
0.08,0.073833,0.171558,443
0.07,0.063333,0.171053,380
0.06,0.0535,0.174455,321
0.05,0.043667,0.175573,262
0.04,0.034167,0.156098,205
0.03,0.027,0.17284,162
0.02,0.0185,0.135135,111
0.01,0.008667,0.153846,52
0.0,0.0,0.0,0
